,id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,2943158,dongsi_aq,2018-04-01 17:00:00,145.0,208.0,102.0,1.0,44.0,14.0
1,2943159,tiantan_aq,2018-04-01 17:00:00,132.0,174.0,95.0,1.0,24.0,2.0
2,2943160,guanyuan_aq,2018-04-01 17:00:00,138.0,187.0,86.0,0.9,52.0,10.0
3,2943161,wanshouxigong_aq,2018-04-01 17:00:00,132.0,155.0,75.0,0.9,44.0,11.0
4,2943162,aotizhongxin_aq,2018-04-01 17:00:00,149.0,195.0,105.0,1.0,34.0,9.0
5,2943163,nongzhanguan_aq,2018-04-01 17:00:00,164.0,237.0,138.0,1.3,9.0,12.0
6,2943164,wanliu_aq,2018-04-01 17:00:00,167.0,223.0,134.0,1.0,13.0,8.0
7,2943165,beibuxinqu_aq,2018-04-01 17:00:00,201.0,211.66666666666666,138.0,1.5,2.0,2.0
8,2943166,zhiwuyuan_aq,2018-04-01 17:00:00,174.0,200.33333333333334,108.5,1.2,32.0,7.5
9,2943167,fengtaihuayuan_aq,2018-04-01 17:00:00,147.0,189.0,79.0,0.9,62.0,13.0
10,2943168,yungang_aq,2018-04-01 17:00:00,201.0,260.0,90.0,1.0,54.0,19.0
11,2943169,gucheng_aq,2018-04-01 17:00:00,190.0,296.0,172.0,1.1,2.0,9.0
12,2943170,fangshan_aq,2018-04-01 17:00:00,146.0,242.0,105.0,0.8,44.0,15.0
13,2943171,daxing_aq,2018-04-01 17:00:00,125.0,221.0,150.0,1.0,4.0,14.0
14,2943172,yizhuang_aq,2018-04-01 17:00:00,109.0,171.0,138.0,0.9,19.0,10.0
15,2943173,tongzhou_aq,2018-04-01 17:00:00,283.0,182.0,67.0,1.6,32.0,10.0
16,2943174,shunyi_aq,2018-04-01 17:00:00,273.0,193.0,46.0,1.9,86.0,18.0
17,2943175,pingchang_aq,2018-04-01 17:00:00,201.0,204.0,49.0,1.2,81.0,7.0
18,2943176,mentougou_aq,2018-04-01 17:00:00,108.0,154.0,88.0,0.8,57.0,7.0
19,2943177,pinggu_aq,2018-04-01 17:00:00,265.0,170.75,28.0,1.3,122.0,2.0
20,2943178,huairou_aq,2018-04-01 17:00:00,232.0,187.5,34.0,1.4,77.0,5.0
21,2943179,miyun_aq,2018-04-01 17:00:00,256.0,204.25,77.0,1.7,64.0,5.0
22,2943180,yanqin_aq,2018-04-01 17:00:00,167.0,221.0,80.0,1.2,57.0,5.0
23,2943181,dingling_aq,2018-04-01 17:00:00,194.0,233.0,32.0,1.3,149.0,8.0
24,2943182,badaling_aq,2018-04-01 17:00:00,145.0,245.0,157.0,1.5,6.0,13.0
25,2943183,miyunshuiku_aq,2018-04-01 17:00:00,230.0,265.0,28.0,1.6,141.0,11.0
26,2943184,donggaocun_aq,2018-04-01 17:00:00,251.0,285.0,34.0,1.1,117.0,18.0
27,2943185,yongledian_aq,2018-04-01 17:00:00,208.0,305.0,122.0,2.1,22.0,13.0
28,2943186,yufa_aq,2018-04-01 17:00:00,127.0,193.0,38.0,0.8,95.0,13.0
29,2943187,liulihe_aq,2018-04-01 17:00:00,111.0,179.0,37.0,0.7,67.0,14.0
30,2943188,qianmen_aq,2018-04-01 17:00:00,147.0,178.0,110.0,0.9,36.0,15.0
31,2943189,yongdingmennei_aq,2018-04-01 17:00:00,133.0,154.0,97.0,0.9,49.0,20.0
32,2943190,xizhimenbei_aq,2018-04-01 17:00:00,155.0,180.0,99.0,1.1,34.0,15.0
33,2943191,nansanhuan_aq,2018-04-01 17:00:00,121.0,230.0,112.0,0.9,33.0,18.0
