,id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,2943158,dongsi_aq,2018-04-01 17:00:00,0.145,0.06933333333333333,0.34,0.06666666666666667,0.088,0.04666666666666667
1,2943159,tiantan_aq,2018-04-01 17:00:00,0.132,0.058,0.31666666666666665,0.06666666666666667,0.048,0.006666666666666667
2,2943160,guanyuan_aq,2018-04-01 17:00:00,0.138,0.06233333333333333,0.2866666666666667,0.060000000000000005,0.104,0.03333333333333333
3,2943161,wanshouxigong_aq,2018-04-01 17:00:00,0.132,0.051666666666666666,0.25,0.060000000000000005,0.088,0.03666666666666667
4,2943162,aotizhongxin_aq,2018-04-01 17:00:00,0.149,0.065,0.35,0.06666666666666667,0.068,0.03
5,2943163,nongzhanguan_aq,2018-04-01 17:00:00,0.164,0.079,0.46,0.08666666666666667,0.018,0.04
6,2943164,wanliu_aq,2018-04-01 17:00:00,0.167,0.07433333333333333,0.44666666666666666,0.06666666666666667,0.026,0.02666666666666667
7,2943165,beibuxinqu_aq,2018-04-01 17:00:00,0.201,0.07055555555555554,0.46,0.1,0.004,0.006666666666666667
8,2943166,zhiwuyuan_aq,2018-04-01 17:00:00,0.174,0.06677777777777777,0.3616666666666667,0.08,0.064,0.025
9,2943167,fengtaihuayuan_aq,2018-04-01 17:00:00,0.147,0.063,0.2633333333333333,0.060000000000000005,0.124,0.043333333333333335
10,2943168,yungang_aq,2018-04-01 17:00:00,0.201,0.08666666666666667,0.3,0.06666666666666667,0.108,0.06333333333333334
11,2943169,gucheng_aq,2018-04-01 17:00:00,0.19,0.09866666666666667,0.5733333333333334,0.07333333333333333,0.004,0.03
12,2943170,fangshan_aq,2018-04-01 17:00:00,0.146,0.08066666666666666,0.35,0.05333333333333334,0.088,0.05
13,2943171,daxing_aq,2018-04-01 17:00:00,0.125,0.07366666666666667,0.5,0.06666666666666667,0.008,0.04666666666666667
14,2943172,yizhuang_aq,2018-04-01 17:00:00,0.109,0.057,0.46,0.060000000000000005,0.038,0.03333333333333333
15,2943173,tongzhou_aq,2018-04-01 17:00:00,0.283,0.06066666666666667,0.22333333333333333,0.10666666666666667,0.064,0.03333333333333333
16,2943174,shunyi_aq,2018-04-01 17:00:00,0.273,0.06433333333333334,0.15333333333333332,0.12666666666666665,0.172,0.06
17,2943175,pingchang_aq,2018-04-01 17:00:00,0.201,0.068,0.16333333333333333,0.08,0.162,0.023333333333333334
