index_col,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,0.133,0.051333333333333335,0.3233333333333333,0.06000000000000001,0.098,0.06666666666666668
1,0.134,0.05366666666666667,0.33,0.05333333333333334,0.044000000000000004,0.05
2,0.134,0.05166666666666666,0.38333333333333336,0.06666666666666668,0.004,0.03
3,0.17800000000000002,0.06833333333333333,0.39,0.09333333333333332,0.016,0.02333333333333333
4,0.248,0.086,0.32,0.10666666666666667,0.01,0.02333333333333333
5,0.257,0.10800000000000001,0.2966666666666667,0.12666666666666665,0.008,0.02333333333333333
6,0.253,0.1165,0.2933333333333333,0.16666666666666666,0.006,0.02333333333333333
7,0.263,0.11083333333333334,0.2933333333333333,0.16999999999999998,0.018000000000000002,0.03
8,0.273,0.10516666666666667,0.2933333333333333,0.17333333333333334,0.03,0.03666666666666667
9,0.3,0.1115,0.3,0.16,0.062,0.043333333333333335
10,0.304,0.10966666666666666,0.27,0.15333333333333332,0.094,0.05666666666666665
11,0.297,0.10766666666666666,0.2766666666666667,0.16,0.124,0.06333333333333334
12,0.295,0.10316666666666667,0.26,0.16,0.17600000000000002,0.07333333333333332
13,0.284,0.09366666666666666,0.23666666666666664,0.14666666666666667,0.228,0.07
14,0.266,0.09216666666666666,0.23666666666666664,0.14,0.282,0.07666666666666666
15,0.251,0.09516666666666666,0.21,0.12,0.374,0.07333333333333332
16,0.247,0.09883333333333333,0.2633333333333333,0.12,0.358,0.06666666666666668
17,0.259,0.09555555555555556,0.3333333333333333,0.14666666666666667,0.3,0.06
18,0.268,0.09366666666666666,0.4566666666666666,0.14666666666666667,0.17600000000000002,0.043333333333333335
19,0.285,0.09566666666666666,0.32666666666666666,0.16,0.228,0.03666666666666667
20,0.281,0.09316666666666666,0.3233333333333333,0.15333333333333332,0.19399999999999998,0.043333333333333335
21,0.271,0.1155,0.30666666666666664,0.12666666666666665,0.156,0.043333333333333335
22,0.067,0.127,0.11333333333333333,0.04,0.156,0.03333333333333333
23,0.057,0.13366666666666666,0.09333333333333334,0.04666666666666666,0.166,0.04
24,0.039,0.09066666666666667,0.1,0.02666666666666667,0.158,0.02666666666666667
25,0.031,0.07066666666666667,0.10666666666666667,0.03333333333333333,0.146,0.02
26,0.026000000000000002,0.0665,0.095,0.026666666666666665,0.14300000000000002,0.023333333333333334
27,0.021,0.062333333333333324,0.08333333333333333,0.02,0.14,0.02666666666666667
28,0.016,0.054000000000000006,0.05666666666666665,0.013333333333333334,0.17,0.016666666666666666
29,0.012,0.04233333333333333,0.05333333333333334,0.013333333333333334,0.18,0.006666666666666667
30,0.006999999999999999,0.04166666666666666,0.06333333333333334,0.013333333333333334,0.18,0.006666666666666667
31,0.008,0.04033333333333333,0.09666666666666666,0.02,0.162,0.01
32,0.006,0.03133333333333333,0.13,0.02,0.152,0.006666666666666667
33,0.013999999999999999,0.029666666666666668,0.11333333333333333,0.02,0.158,0.006666666666666667
34,0.01,0.034,0.09666666666666666,0.02,0.166,0.006666666666666667
35,0.003,0.029333333333333333,0.08333333333333333,0.02,0.17800000000000002,0.006666666666666667
36,0.013999999999999999,0.03333333333333333,0.06666666666666668,0.013333333333333334,0.184,0.006666666666666667
37,0.009000000000000001,0.060333333333333336,0.06333333333333334,0.013333333333333334,0.18,0.006666666666666667
38,0.013999999999999999,0.033666666666666664,0.07,0.013333333333333334,0.18,0.006666666666666667
39,0.005,0.009333333333333334,0.07333333333333332,0.013333333333333334,0.166,0.006666666666666667
40,0.006999999999999999,0.07133333333333333,0.08,0.013333333333333334,0.136,0.006666666666666667
41,0.006999999999999999,0.036333333333333336,0.08666666666666667,0.013333333333333334,0.134,0.006666666666666667
42,0.006,0.014333333333333332,0.08666666666666667,0.013333333333333334,0.136,0.006666666666666667
43,0.006,0.0065,0.09333333333333334,0.013333333333333334,0.134,0.006666666666666667
44,0.01,0.004666666666666667,0.11666666666666667,0.02,0.10800000000000001,0.006666666666666667
45,0.013999999999999999,0.0038333333333333327,0.15,0.02,0.07200000000000001,0.006666666666666667
46,0.016,0.0115,0.13,0.02,0.08199999999999999,0.006666666666666667
47,0.019,0.009166666666666668,0.13,0.02,0.07200000000000001,0.006666666666666667
48,0.023,0.011000000000000001,0.14,0.02,0.054000000000000006,0.006666666666666667
49,0.027000000000000003,0.011305555555555557,0.16666666666666666,0.02,0.02,0.013333333333333334
50,0.027000000000000003,0.010833333333333334,0.18666666666666668,0.02666666666666667,0.004,0.013333333333333334
51,0.023,0.011166666666666668,0.18,0.02666666666666667,0.059000000000000004,0.01
52,0.027999999999999997,0.012948717948717952,0.12666666666666668,0.02,0.027999999999999997,0.013333333333333334
53,0.026000000000000002,0.012533333333333334,0.15666666666666668,0.02,0.02,0.013333333333333334
54,0.03,0.02353333333333333,0.16666666666666666,0.03333333333333333,0.013999999999999999,0.016666666666666666
55,0.031,0.013666666666666669,0.19,0.04666666666666666,0.02,0.013333333333333334
56,0.035,0.02183333333333333,0.17,0.04,0.038,0.016666666666666666
57,0.031,0.011555555555555557,0.14666666666666667,0.03333333333333333,0.092,0.02
58,0.013000000000000001,0.004666666666666667,0.12,0.03333333333333333,0.128,0.02333333333333333
59,0.019166666666666665,0.006333333333333333,0.10333333333333333,0.03,0.14300000000000002,0.02333333333333333
60,0.025333333333333333,0.008,0.08666666666666667,0.02666666666666667,0.158,0.02333333333333333
61,0.013999999999999999,0.010333333333333332,0.11333333333333333,0.02666666666666667,0.138,0.02
62,0.01,0.019,0.10666666666666667,0.03333333333333333,0.14,0.02666666666666667
63,0.022000000000000002,0.009333333333333334,0.08,0.03333333333333333,0.15,0.016666666666666666
64,0.008,0.008333333333333333,0.13,0.02666666666666667,0.098,0.016666666666666666
65,0.022000000000000002,0.00575,0.14666666666666667,0.03333333333333333,0.078,0.013333333333333334
66,0.023,0.007208333333333333,0.16333333333333333,0.039999999999999994,0.065,0.015
67,0.024,0.008666666666666666,0.18,0.04666666666666666,0.052000000000000005,0.016666666666666666
68,0.028999999999999998,0.014787878787878787,0.20666666666666667,0.05333333333333334,0.046,0.016666666666666666
69,0.035,0.013171428571428574,0.2333333333333333,0.06000000000000001,0.024,0.016666666666666666
70,0.027000000000000003,0.011320610687022902,0.22666666666666666,0.04666666666666666,0.034,0.016666666666666666
71,0.028999999999999998,0.00953944020356234,0.17,0.04,0.06,0.02
72,0.027000000000000003,0.007758269720101779,0.18,0.04,0.044000000000000004,0.016666666666666666
73,0.027999999999999997,0.006443859649122806,0.19333333333333333,0.05333333333333334,0.02,0.02
74,0.025,0.006996491228070175,0.16666666666666666,0.04666666666666666,0.03,0.016666666666666666
75,0.037000000000000005,0.007549122807017545,0.08333333333333333,0.03333333333333333,0.092,0.02
76,0.039,0.008101754385964912,0.07,0.03333333333333333,0.098,0.02
77,0.0465,0.008378070175438596,0.08166666666666667,0.03666666666666667,0.09,0.021666666666666667
78,0.054000000000000006,0.008654385964912279,0.09333333333333334,0.04,0.08199999999999999,0.02333333333333333
79,0.040999999999999995,0.00920701754385965,0.10666666666666667,0.04,0.08199999999999999,0.02333333333333333
80,0.04,0.017433333333333332,0.1,0.03333333333333333,0.092,0.02
81,0.043,0.01788333333333333,0.10666666666666666,0.03666666666666667,0.083,0.021666666666666667
82,0.046,0.01833333333333333,0.11333333333333333,0.04,0.07400000000000001,0.02333333333333333
83,0.049,0.01833333333333333,0.11666666666666667,0.04,0.07200000000000001,0.02
84,0.05,0.01833333333333333,0.11,0.04666666666666666,0.076,0.02333333333333333
85,0.051,0.01983333333333333,0.09666666666666666,0.04,0.08199999999999999,0.02666666666666667
86,0.05449999999999999,0.02008333333333333,0.105,0.04,0.077,0.02666666666666667
87,0.057999999999999996,0.02033333333333333,0.11333333333333333,0.04,0.07200000000000001,0.02666666666666667
88,0.068,0.03066666666666666,0.12,0.04,0.07,0.02666666666666667
89,0.078,0.034,0.13333333333333333,0.04666666666666666,0.06,0.02666666666666667
90,0.07400000000000001,0.032,0.15666666666666668,0.04666666666666666,0.04,0.02
91,0.07400000000000001,0.03233333333333333,0.20666666666666667,0.05333333333333334,0.012,0.02333333333333333
92,0.052000000000000005,0.029666666666666668,0.15666666666666668,0.04,0.07400000000000001,0.02333333333333333
93,0.031,0.10733333333333334,0.03333333333333333,0.02,0.18,0.02333333333333333
94,0.048,0.15466666666666667,0.02666666666666667,0.02,0.18600000000000003,0.02
95,0.06,0.16666666666666666,0.02666666666666667,0.02,0.182,0.02333333333333333
96,0.051,0.122,0.02666666666666667,0.02,0.17,0.02
97,0.019,0.044333333333333336,0.02,0.02,0.166,0.013333333333333334
98,0.014,0.029166666666666667,0.018333333333333333,0.016666666666666666,0.1585,0.01
99,0.009000000000000001,0.013999999999999999,0.016666666666666666,0.013333333333333334,0.151,0.006666666666666667
100,0.006,0.02033333333333333,0.02333333333333333,0.013333333333333334,0.19399999999999998,0.006666666666666667
101,0.018000000000000002,0.028333333333333325,0.03,0.02,0.196,0.006666666666666667
102,0.018000000000000002,0.028333333333333325,0.043333333333333335,0.02,0.188,0.01
103,0.016,0.028333333333333325,0.05,0.02,0.184,0.006666666666666667
104,0.018500000000000003,0.025166666666666664,0.05333333333333333,0.02,0.187,0.006666666666666667
105,0.021,0.022000000000000002,0.05666666666666665,0.02,0.19,0.006666666666666667
106,0.018000000000000002,0.01833333333333333,0.04666666666666667,0.02,0.19,0.006666666666666667
107,0.013999999999999999,0.012333333333333332,0.04666666666666667,0.02,0.182,0.006666666666666667
108,0.013000000000000001,0.009666666666666669,0.03666666666666667,0.013333333333333334,0.188,0.006666666666666667
109,0.005,0.007333333333333333,0.03333333333333333,0.013333333333333334,0.19399999999999998,0.006666666666666667
110,0.006,0.011666666666666669,0.03666666666666667,0.013333333333333334,0.188,0.006666666666666667
111,0.005,0.012333333333333332,0.03666666666666667,0.013333333333333334,0.188,0.006666666666666667
112,0.006999999999999999,0.011666666666666669,0.03666666666666667,0.013333333333333334,0.196,0.006666666666666667
113,0.006999999999999999,0.009000000000000001,0.04,0.013333333333333334,0.198,0.006666666666666667
114,0.008,0.007666666666666665,0.03666666666666667,0.013333333333333334,0.19399999999999998,0.006666666666666667
115,0.008,0.008666666666666666,0.03666666666666667,0.013333333333333334,0.192,0.006666666666666667
116,0.011000000000000001,0.01,0.04,0.013333333333333334,0.192,0.006666666666666667
117,0.010000000000000002,0.009666666666666667,0.04166666666666667,0.016666666666666666,0.198,0.006666666666666667
118,0.009000000000000001,0.009333333333333334,0.043333333333333335,0.02,0.204,0.006666666666666667
119,0.00875,0.010083333333333333,0.0425,0.018333333333333333,0.2035,0.006666666666666667
120,0.0085,0.010833333333333334,0.04166666666666667,0.016666666666666666,0.20299999999999999,0.006666666666666667
121,0.00825,0.011583333333333333,0.04083333333333333,0.015000000000000001,0.20249999999999999,0.006666666666666667
122,0.008,0.012333333333333332,0.04,0.013333333333333334,0.20199999999999999,0.006666666666666667
123,0.006999999999999999,0.012333333333333332,0.04666666666666667,0.013333333333333334,0.192,0.006666666666666667
124,0.006,0.011000000000000001,0.043333333333333335,0.013333333333333334,0.196,0.006666666666666667
125,0.006999999999999999,0.01,0.05,0.013333333333333334,0.18600000000000003,0.01
126,0.008,0.009333333333333334,0.06,0.02,0.182,0.006666666666666667
127,0.0085,0.0085,0.065,0.02,0.18,0.01
128,0.009000000000000001,0.007666666666666665,0.07,0.02,0.17800000000000002,0.013333333333333334
129,0.01,0.007333333333333333,0.07666666666666666,0.02,0.17800000000000002,0.01
130,0.016,0.006,0.08333333333333333,0.02,0.184,0.01
131,0.009000000000000001,0.007666666666666665,0.07,0.02,0.188,0.01
132,0.013000000000000001,0.006333333333333333,0.07333333333333332,0.02,0.196,0.013333333333333334
133,0.013000000000000001,0.009666666666666669,0.07333333333333332,0.013333333333333334,0.21600000000000003,0.01
134,0.013000000000000001,0.012,0.06,0.013333333333333334,0.22,0.013333333333333334
135,0.018500000000000003,0.016333333333333335,0.07166666666666666,0.016666666666666666,0.212,0.03166666666666667
136,0.024,0.02066666666666667,0.08333333333333333,0.02,0.204,0.05
137,0.028999999999999998,0.02633333333333333,0.11,0.02666666666666667,0.192,0.043333333333333335
138,0.033,0.029666666666666668,0.19666666666666666,0.03333333333333333,0.154,0.04
139,0.037000000000000005,0.034,0.26666666666666666,0.04,0.106,0.03666666666666667
140,0.046,0.035,0.3133333333333333,0.04666666666666666,0.066,0.03
141,0.04,0.03,0.3,0.05333333333333334,0.064,0.03
142,0.038,0.03,0.31666666666666665,0.04,0.048,0.03
143,0.045,0.03033333333333333,0.2966666666666667,0.06666666666666668,0.048,0.03
144,0.037000000000000005,0.023666666666666662,0.24,0.06000000000000001,0.06,0.02666666666666667
145,0.035,0.021333333333333333,0.26666666666666666,0.04666666666666666,0.03,0.04
146,0.036000000000000004,0.02033333333333333,0.2466666666666667,0.04666666666666666,0.042,0.04666666666666667
147,0.032,0.02,0.2466666666666667,0.04666666666666666,0.039,0.043333333333333335
148,0.033,0.02,0.3,0.04666666666666666,0.038,0.043333333333333335
149,0.04,0.033666666666666664,0.3933333333333333,0.06666666666666668,0.004,0.04
150,0.044000000000000004,0.04766666666666667,0.4266666666666667,0.07333333333333332,0.004,0.04
151,0.043,0.03666666666666667,0.3633333333333333,0.07333333333333332,0.024,0.04666666666666667
152,0.040999999999999995,0.02666666666666667,0.32,0.05333333333333334,0.06,0.05
153,0.043,0.02733333333333333,0.2733333333333333,0.05333333333333334,0.084,0.04666666666666667
154,0.033,0.025,0.22333333333333333,0.04666666666666666,0.105,0.05
155,0.04,0.023666666666666662,0.22,0.05333333333333334,0.134,0.05333333333333334
156,0.037000000000000005,0.02333333333333333,0.18333333333333326,0.04,0.158,0.04666666666666667
157,0.036000000000000004,0.021666666666666667,0.18,0.04,0.168,0.05
158,0.031,0.021666666666666667,0.17666666666666667,0.04,0.174,0.05333333333333334
159,0.033,0.028333333333333325,0.13333333333333333,0.04,0.20800000000000002,0.05666666666666665
160,0.047,0.034333333333333334,0.13,0.04666666666666666,0.212,0.05666666666666665
161,0.046,0.037333333333333336,0.16,0.05333333333333334,0.198,0.06
162,0.055999999999999994,0.038,0.21333333333333332,0.05333333333333334,0.17600000000000002,0.06
163,0.061,0.038,0.25,0.05333333333333334,0.14400000000000002,0.08333333333333333
164,0.054000000000000006,0.038,0.23666666666666664,0.05333333333333334,0.14400000000000002,0.07666666666666666
165,0.063,0.04166666666666666,0.32,0.05333333333333334,0.086,0.07
166,0.053,0.033666666666666664,0.2633333333333333,0.05333333333333334,0.08800000000000001,0.07333333333333332
167,0.044000000000000004,0.027666666666666662,0.29,0.04,0.08199999999999999,0.06
168,0.040999999999999995,0.023666666666666662,0.25666666666666665,0.04,0.08800000000000001,0.05666666666666665
169,0.040999999999999995,0.02433333333333333,0.2966666666666667,0.04666666666666666,0.048,0.05333333333333334
170,0.049,0.03133333333333333,0.34,0.06666666666666668,0.012,0.04666666666666667
171,0.06,0.03,0.36666666666666653,0.07333333333333332,0.004,0.043333333333333335
172,0.064,0.028999999999999998,0.34,0.07333333333333332,0.006,0.043333333333333335
173,0.07400000000000001,0.029666666666666668,0.33,0.07333333333333332,0.013999999999999999,0.05333333333333334
174,0.073,0.03966666666666667,0.33,0.14,0.027999999999999997,0.06666666666666668
175,0.07200000000000001,0.03966666666666667,0.3366666666666667,0.15333333333333332,0.04,0.11333333333333333
176,0.071,0.035666666666666666,0.32666666666666666,0.16,0.064,0.17666666666666667
177,0.075,0.034666666666666665,0.3133333333333333,0.16666666666666666,0.092,0.18333333333333326
178,0.076,0.03333333333333333,0.29,0.15333333333333332,0.124,0.17
179,0.078,0.033666666666666664,0.28,0.14666666666666667,0.154,0.16666666666666666
180,0.081,0.034666666666666665,0.25666666666666665,0.14666666666666667,0.19,0.15666666666666668
181,0.085,0.03833333333333333,0.24,0.13333333333333333,0.212,0.17
182,0.0995,0.04416666666666667,0.25666666666666665,0.14,0.23199999999999998,0.17666666666666664
183,0.114,0.05,0.2733333333333333,0.14666666666666667,0.252,0.18333333333333326
184,0.11599999999999999,0.05,0.3,0.15333333333333332,0.25,0.17666666666666667
185,0.126,0.055,0.39,0.16,0.198,0.16666666666666666
186,0.138,0.058666666666666666,0.4566666666666666,0.15333333333333332,0.15,0.13666666666666666
187,0.138,0.057666666666666665,0.4133333333333333,0.12666666666666665,0.138,0.11
188,0.129,0.057333333333333326,0.4133333333333333,0.11333333333333333,0.14,0.11333333333333333
189,0.126,0.05666666666666665,0.4566666666666666,0.11333333333333333,0.096,0.11
190,0.098,0.05533333333333333,0.31,0.13333333333333333,0.10400000000000001,0.12666666666666668
191,0.08800000000000001,0.049666666666666665,0.2933333333333333,0.15333333333333332,0.08,0.11333333333333333
192,0.08800000000000001,0.046,0.3333333333333333,0.14,0.038,0.09666666666666666
193,0.0855,0.04533333333333334,0.31999999999999995,0.13,0.034,0.075
194,0.083,0.04466666666666667,0.30666666666666664,0.12,0.03,0.05333333333333334
195,0.077,0.04566666666666667,0.32,0.13333333333333333,0.009000000000000001,0.03
196,0.09,0.04566666666666667,0.3333333333333333,0.13333333333333333,0.004,0.03666666666666667
197,0.08800000000000001,0.052000000000000005,0.36666666666666653,0.14666666666666667,0.004,0.04
198,0.09,0.062333333333333324,0.39666666666666667,0.15333333333333332,0.008,0.05
199,0.12,0.06766666666666668,0.4066666666666667,0.16,0.018000000000000002,0.07666666666666666
200,0.13,0.07466666666666667,0.4133333333333333,0.15333333333333332,0.036000000000000004,0.10333333333333332
201,0.121,0.08133333333333333,0.38333333333333336,0.13333333333333333,0.062,0.08666666666666667
202,0.055999999999999994,0.04766666666666667,0.13666666666666666,0.04,0.17600000000000002,0.03666666666666667
203,0.013000000000000001,0.04933333333333333,0.043333333333333335,0.02,0.20800000000000002,0.016666666666666666
204,0.013000000000000001,0.029333333333333333,0.04,0.02,0.21,0.013333333333333334
205,0.015,0.043,0.03666666666666667,0.013333333333333334,0.20800000000000002,0.013333333333333334
206,0.013999999999999999,0.03833333333333333,0.03,0.013333333333333334,0.20800000000000002,0.006666666666666667
207,0.006,0.017333333333333333,0.03333333333333333,0.013333333333333334,0.20600000000000002,0.01
208,0.021,0.013666666666666669,0.03666666666666667,0.013333333333333334,0.21,0.01
209,0.006999999999999999,0.010666666666666666,0.06,0.02,0.192,0.01
210,0.01,0.012666666666666666,0.06666666666666668,0.02,0.18600000000000003,0.013333333333333334
211,0.009000000000000001,0.011000000000000001,0.07666666666666666,0.02,0.17600000000000002,0.01
212,0.009000000000000001,0.007333333333333333,0.06,0.02,0.188,0.006666666666666667
213,0.003,0.006333333333333333,0.06,0.02,0.188,0.006666666666666667
214,0.006999999999999999,0.006,0.06666666666666668,0.02,0.18,0.006666666666666667
215,0.009000000000000001,0.009666666666666669,0.16,0.02,0.11599999999999999,0.013333333333333334
216,0.003,0.015,0.3466666666666667,0.03333333333333333,0.004,0.02
217,0.011000000000000001,0.010333333333333332,0.3333333333333333,0.03333333333333333,0.01,0.016666666666666666
218,0.004,0.005666666666666667,0.25,0.03333333333333333,0.06,0.013333333333333334
219,0.006999999999999999,0.013999999999999999,0.26,0.02666666666666667,0.042,0.013333333333333334
220,0.024,0.015,0.3133333333333333,0.04,0.004,0.013333333333333334
221,0.02,0.021,0.30666666666666664,0.05333333333333334,0.004,0.006666666666666667
222,0.024,0.045,0.3633333333333333,0.08,0.004,0.016666666666666666
223,0.024,0.0315,0.29999999999999993,0.05666666666666667,0.043,0.018333333333333333
224,0.024,0.018000000000000002,0.23666666666666664,0.03333333333333333,0.08199999999999999,0.02
225,0.018000000000000002,0.01533333333333333,0.17,0.02666666666666667,0.126,0.013333333333333334
226,0.026000000000000002,0.013666666666666669,0.14,0.02666666666666667,0.16,0.016666666666666666
227,0.016,0.007666666666666665,0.07666666666666666,0.02,0.20800000000000002,0.013333333333333334
228,0.017,0.010333333333333332,0.09,0.02666666666666667,0.214,0.02333333333333333
229,0.012,0.015555555555555553,0.061666666666666675,0.02666666666666667,0.2,0.006666666666666667
230,0.004,0.0023333333333333327,0.06666666666666668,0.02,0.228,0.03666666666666667
231,0.054000000000000006,0.03233333333333333,0.08333333333333333,0.02666666666666667,0.256,0.06
232,0.052000000000000005,0.027000000000000003,0.10333333333333332,0.03333333333333333,0.262,0.06
233,0.034,0.03066666666666666,0.10666666666666667,0.02666666666666667,0.248,0.06333333333333334
234,0.026000000000000002,0.034,0.15666666666666668,0.02666666666666667,0.20600000000000002,0.06
235,0.035,0.035,0.19,0.03333333333333333,0.166,0.05666666666666665
236,0.040999999999999995,0.035,0.25666666666666665,0.03333333333333333,0.11800000000000001,0.06
237,0.053,0.037333333333333336,0.30666666666666664,0.04,0.084,0.09
238,0.06,0.034666666666666665,0.2966666666666667,0.04,0.076,0.10333333333333332
239,0.055,0.037000000000000005,0.4,0.04666666666666666,0.016,0.07666666666666666
240,0.048,0.03233333333333333,0.36666666666666653,0.05333333333333334,0.004,0.05
241,0.052000000000000005,0.03,0.36666666666666653,0.06000000000000001,0.004,0.03333333333333333
242,0.038,0.03333333333333333,0.39666666666666667,0.04666666666666666,0.004,0.03666666666666667
243,0.025,0.021333333333333333,0.38,0.03333333333333333,0.005,0.02666666666666667
244,0.011000000000000001,0.011333333333333334,0.31666666666666665,0.02666666666666667,0.018000000000000002,0.03
245,0.01,0.019,0.34,0.03333333333333333,0.012,0.03
246,0.040999999999999995,0.05433333333333333,0.3466666666666667,0.11333333333333333,0.03,0.07666666666666666
247,0.036000000000000004,0.050666666666666665,0.25,0.10666666666666667,0.08,0.06666666666666668
248,0.027000000000000003,0.04633333333333333,0.21333333333333332,0.08,0.106,0.05666666666666665
249,0.032,0.04733333333333333,0.18666666666666668,0.07333333333333332,0.124,0.05333333333333334
250,0.036000000000000004,0.04933333333333333,0.20666666666666667,0.08,0.132,0.07
251,0.039,0.048,0.18333333333333326,0.07333333333333332,0.158,0.07333333333333332
252,0.044000000000000004,0.046,0.15333333333333332,0.06666666666666668,0.188,0.06333333333333334
253,0.040999999999999995,0.044333333333333336,0.15333333333333332,0.07333333333333332,0.212,0.06
254,0.039,0.04166666666666666,0.15333333333333332,0.05333333333333334,0.214,0.05
255,0.031,0.04533333333333334,0.17,0.04666666666666666,0.20600000000000002,0.043333333333333335
256,0.047,0.03766666666666667,0.15666666666666668,0.04,0.22,0.03333333333333333
257,0.025,0.036000000000000004,0.20333333333333334,0.04,0.188,0.02666666666666667
258,0.017,0.036333333333333336,0.21666666666666667,0.04,0.166,0.016666666666666666
259,0.0175,0.03166666666666667,0.19666666666666666,0.03666666666666667,0.16,0.019999999999999997
260,0.018000000000000002,0.027000000000000003,0.17666666666666667,0.03333333333333333,0.154,0.02333333333333333
261,0.015,0.02466666666666667,0.18666666666666668,0.03333333333333333,0.142,0.02666666666666667
262,0.0175,0.020333333333333335,0.18333333333333335,0.03666666666666667,0.135,0.028333333333333335
263,0.02,0.016,0.18,0.04,0.128,0.03
264,0.017,0.01533333333333333,0.15333333333333332,0.04,0.128,0.03333333333333333
265,0.015,0.012,0.18666666666666668,0.05333333333333334,0.124,0.04
266,0.025,0.014666666666666666,0.21666666666666667,0.06666666666666668,0.1,0.06
267,0.03,0.025666666666666667,0.24,0.1,0.08,0.09
268,0.059000000000000004,0.02466666666666667,0.2766666666666667,0.12666666666666665,0.066,0.07333333333333332
269,0.036000000000000004,0.02733333333333333,0.2866666666666667,0.12666666666666665,0.057999999999999996,0.09333333333333334
270,0.046,0.03766666666666667,0.3933333333333333,0.15333333333333332,0.03,0.12666666666666668
271,0.052000000000000005,0.03966666666666667,0.39,0.15333333333333332,0.026000000000000002,0.09333333333333334
272,0.048,0.03066666666666666,0.39666666666666667,0.16,0.024,0.05
273,0.057999999999999996,0.03066666666666666,0.3933333333333333,0.16,0.03,0.04666666666666667
274,0.05,0.027666666666666662,0.3633333333333333,0.14666666666666667,0.038,0.05
275,0.054000000000000006,0.03,0.38333333333333336,0.16,0.03,0.03
276,0.06,0.02433333333333333,0.3633333333333333,0.17333333333333334,0.032,0.013333333333333334
277,0.06,0.021,0.38,0.14,0.03,0.016666666666666666
278,0.055999999999999994,0.02233333333333333,0.37,0.11333333333333333,0.026000000000000002,0.016666666666666666
279,0.055999999999999994,0.026866666666666664,0.3366666666666667,0.1,0.026000000000000002,0.02
280,0.046,0.014261904761904762,0.3333333333333333,0.08,0.027999999999999997,0.02
281,0.028999999999999998,0.0194,0.2433333333333333,0.05333333333333334,0.11199999999999999,0.013333333333333334
282,0.043,0.012061728395061724,0.21,0.05333333333333334,0.106,0.016666666666666666
283,0.047,0.01311111111111111,0.20666666666666667,0.04666666666666666,0.098,0.013333333333333334
284,0.039,0.00806060606060606,0.17,0.04,0.102,0.013333333333333334
