,id,station_id,time,weather,temperature,pressure,humidity,wind_speed,wind_direction
0,2050685,shunyi_meo,2018-04-01 17:00:00,Hail,16.5,1002.3,71.0,1.2,121.0
1,2050686,hadian_meo,2018-04-01 17:00:00,Hail,13.5,999.9,71.0,1.0,47.0
2,2050687,yanqing_meo,2018-04-01 17:00:00,Hail,12.2,949.6,49.0,0.7,65.0
3,2050688,miyun_meo,2018-04-01 17:00:00,Hail,13.5,997.5,75.0,0.4,70.0
4,2050689,huairou_meo,2018-04-01 17:00:00,Hail,16.2,997.2,69.0,1.0,1.0
5,2050690,shangdianzi_meo,2018-04-01 17:00:00,Hail,17.3,971.5,55.0,4.7,250.0
6,2050691,pinggu_meo,2018-04-01 17:00:00,Hail,17.7,1002.3,66.0,3.5,85.0
7,2050692,tongzhou_meo,2018-04-01 17:00:00,Hail,14.4,1003.4,81.0,1.8,100.0
8,2050693,chaoyang_meo,2018-04-01 17:00:00,Hail,18.0,1001.4,57.0,1.6,145.0
9,2050694,pingchang_meo,2018-04-01 17:00:00,Hail,15.1,996.8,53.0,0.9,306.0
10,2050695,zhaitang_meo,2018-04-01 17:00:00,Hail,13.8,954.9,33.0,0.7,38.0
11,2050696,mentougou_meo,2018-04-01 17:00:00,Hail,13.9,995.5,57.0,0.5,226.0
12,2050697,beijing_meo,2018-04-01 17:00:00,Hail,18.7,1001.6,36.0,1.2,167.0
13,2050698,shijingshan_meo,2018-04-01 17:00:00,Hail,13.9,997.9,55.0,0.6,313.0
14,2050699,fengtai_meo,2018-04-01 17:00:00,Hail,15.9,998.8,53.0,0.9,240.0
15,2050700,daxing_meo,2018-04-01 17:00:00,Hail,14.7,1000.8,49.0,1.4,162.0
16,2050701,fangshan_meo,2018-04-01 17:00:00,Hail,14.8,999.6,44.0,0.0,0.0
17,2050702,xiayunling_meo,2018-04-01 17:00:00,Sunny/clear,12.8,958.9,43.0,1.2,138.0
18,2052218,shunyi_meo,2018-04-01 18:00:00,Hail,15.8,1002.2,74.0,1.0,78.0
19,2052219,hadian_meo,2018-04-01 18:00:00,Hail,14.8,999.7,64.0,1.3,45.0
20,2052220,yanqing_meo,2018-04-01 18:00:00,Hail,11.8,949.3,51.0,1.0,54.0
21,2052221,miyun_meo,2018-04-01 18:00:00,Hail,12.0,997.2,80.0,1.2,136.0
22,2052222,huairou_meo,2018-04-01 18:00:00,Hail,14.4,996.8,76.0,2.0,305.0
23,2052223,shangdianzi_meo,2018-04-01 18:00:00,Hail,17.9,971.1,52.0,5.8,246.0
24,2052224,pinggu_meo,2018-04-01 18:00:00,Hail,17.1,1002.0,68.0,3.6,81.0
25,2052225,tongzhou_meo,2018-04-01 18:00:00,Hail,14.1,1003.1,82.0,2.4,98.0
26,2052226,chaoyang_meo,2018-04-01 18:00:00,Hail,15.8,1001.3,73.0,2.1,30.0
